7820,1,0,1,0,1,0,,,4,,76869,46
7821,1,0,1,0,1,0,,,4,,76869,130
9356,0,0,0,0,0,1,,,,,39605,23
8030,0,0,0,0,1,0,0,0,0,3,4757,49
11411,0,1,0,1,0,1,2,2,,16,43422,8
7942,0,0,0,0,0,0,,2,,,37890,19
8089,0,0,0,1,0,0,0,4,0,0,20947,49
7936,0,0,0,1,1,1,4,4,3,8,41620,49
8212,0,0,0,0,0,0,0,0,0,2,82428,49
8379,0,0,0,1,0,0,0,2,0,0,82538,49
8428,0,0,0,1,0,0,0,4,0,0,75867,49
8353,0,0,0,0,0,1,,2,,,82527,130
8442,0,0,0,0,1,0,0,0,0,4,83772,49
8534,0,1,0,0,0,0,,,,,2803,
8543,0,1,0,1,0,1,2,0,0,0,996,12
8527,0,0,0,0,0,0,,2,,,88618,130
8537,0,1,1,0,0,0,0,0,0,0,23066,38
8471,0,0,0,1,0,0,1,1,1,1,86673,34
11545,0,0,0,0,0,0,,2,,2,41716,
8667,0,0,0,0,0,0,,,,,81272,37
7323,0,0,0,0,0,0,,,,,47465,
31987,0,0,0,0,1,0,,,,,327725,471
32309,0,0,0,1,0,0,2,,,,307885,
9445,0,0,0,0,0,0,,2,,,117538,64
8787,0,0,0,0,0,1,0,2,0,0,19975,41
9052,0,0,0,0,0,1,,,,,6602,
1095,0,0,0,1,0,0,2,0,0,0,51176,72
9148,0,0,0,0,0,1,,2,,,11301,95
9157,0,0,0,0,0,1,,2,,,55103,59
9173,0,0,0,1,0,0,2,,,,6671,99
9183,0,0,0,0,0,1,,2,,,41212,127
9545,0,0,0,0,0,0,,,,,118554,39
9132,0,0,0,0,0,0,,,,,102129,48
9133,0,0,0,0,0,1,,,,,8647,7
9152,0,0,0,0,0,1,,2,,,16759,59
9186,0,0,0,1,1,1,2,2,2,2,106235,49
9120,0,0,0,1,0,0,2,,,,107655,130
9080,0,0,1,1,1,0,,,,,6260,42
9428,0,0,0,0,0,0,,,,,52925,38
9465,0,0,0,0,0,1,,2,,,2733,51
9223,0,0,0,0,0,1,2,2,,,43692,7
9224,0,0,0,0,0,1,,,,,48760,18
9565,0,0,0,0,0,0,,,,,119200,11
9601,0,0,0,0,0,0,,,,,86074,20
9665,0,0,0,0,1,0,,,,,120268,
9568,0,0,0,0,0,0,,,,,94398,27
9657,0,0,0,0,0,0,,4,,4,20794,
9759,0,0,0,0,0,0,,,,,122361,130
9763,0,0,0,0,1,0,2,,2,,68142,162
1618,1,1,0,1,0,0,3,0,0,0,6990,12
9915,0,0,0,1,0,0,2,,,,81497,24
9977,0,0,0,0,0,0,,,,,127045,38
9981,0,0,0,0,1,0,,,,,57195,162
9985,0,0,0,0,0,0,,4,,,79244,52
9941,0,0,0,0,0,0,,,,,97118,19
10164,0,0,0,0,0,0,,,,,25623,130
10101,0,0,0,1,0,0,2,,,,91792,
10070,0,0,0,0,1,0,,,,,127836,
10127,0,0,0,0,0,0,2,,,2,128866,48
8219,0,0,0,0,0,0,0,4,0,0,20308,49
11553,1,0,0,0,0,0,0,2,0,2,44570,12
11664,0,0,1,0,0,1,0,6,0,0,1600,8
8282,0,0,0,1,0,0,0,4,0,4,82411,49
8352,0,0,0,1,0,0,0,2,0,0,5308,49
1933,0,0,0,1,1,0,6,0,6,0,953,9
8197,0,0,0,0,1,0,0,0,0,4,20041,49
8390,0,0,0,0,1,0,,,3,3,83810,49
1756,0,1,0,1,1,0,4,0,4,0,5102,12
1568,1,1,1,1,1,1,2,0,2,0,547,12
1728,0,0,1,0,0,0,0,0,0,0,9585,20
847,0,1,0,0,1,0,0,0,4,0,8547,12
3088,1,1,0,1,0,0,2,0,0,0,21001,12
8234,0,0,0,0,0,0,0,6,0,0,82421,49
11428,0,0,0,0,0,0,,4,,,14733,8
1149,0,0,0,1,0,0,2,0,0,0,51682,72
